Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,horse,Host,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Treatment,Time
SRR952175,AMPLICON,300,60582600,PRJNA210516,SAMN02225683,42550204,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333688,1,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,B11,SRP028582,None,
SRR952176,AMPLICON,300,55695600,PRJNA210516,SAMN02225684,39019571,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333689,2,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,B12,SRP028582,None,
SRR952185,AMPLICON,300,48332700,PRJNA210516,SAMN02225693,34020682,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333698,3,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,C09,SRP028582,None,
SRR952153,AMPLICON,300,49724700,PRJNA210516,SAMN02225661,34296366,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333666,1,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A01,SRP028582,Control,12
SRR952156,AMPLICON,300,46184400,PRJNA210516,SAMN02225664,32022722,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333669,1,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A04,SRP028582,Control,24
SRR952157,AMPLICON,300,44441700,PRJNA210516,SAMN02225665,30963154,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333670,2,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A05,SRP028582,Control,24
SRR952158,AMPLICON,300,50633700,PRJNA210516,SAMN02225666,34393219,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333671,3,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A06,SRP028582,Control,24
SRR952159,AMPLICON,300,45598200,PRJNA210516,SAMN02225667,31915567,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333672,1,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A07,SRP028582,Control,36
SRR952160,AMPLICON,300,48593400,PRJNA210516,SAMN02225668,31833295,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333673,2,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A08,SRP028582,Control,36
SRR952161,AMPLICON,300,52189500,PRJNA210516,SAMN02225669,35759773,"UNIVERSITY OF MASSACHUSETTS, AMHERST",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX333674,3,Equus caballus,Illumina MiSeq,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2014-01-01T00:00:00Z,A09,SRP028582,Control,36
