# Constructed from biom file
#OTU ID	SRR952153	SRR952154	SRR952155	SRR952156	SRR952157	SRR952158	SRR952159	SRR952160	SRR952161	SRR952162	SRR952163	SRR952164	SRR952165	SRR952166	SRR952167	SRR952168	SRR952169	SRR952170	SRR952171	SRR952172	SRR952173	SRR952174	SRR952175	SRR952176	SRR952177	SRR952178	SRR952179	SRR952180	SRR952181	SRR952182	SRR952183	SRR952184	SRR952185	SRR952186	SRR952187	SRR952188	SRR952189	SRR952190	SRR952191	SRR952192	SRR952193	SRR952194	SRR952195	SRR952196	SRR952197	SRR952198	SRR952199	SRR952200
95777d0de5324c0531bb52aaa044117b	32506.0	45895.0	50651.0	17580.0	19771.0	50516.0	5163.0	67295.0	22947.0	22170.0	63399.0	65791.0	37840.0	47029.0	84113.0	11386.0	26520.0	48090.0	32360.0	36197.0	47272.0	53557.0	33.0	373.0	54651.0	44355.0	88119.0	64197.0	64013.0	66200.0	49084.0	10322.0	94.0	24973.0	20590.0	87205.0	40373.0	92869.0	85482.0	91816.0	91429.0	94615.0	52881.0	58579.0	56062.0	8998.0	8512.0	68372.0
704f60783a73e215566f90e25227f946	6.0	0.0	0.0	2119.0	895.0	1.0	1088.0	605.0	4.0	8491.0	346.0	4.0	35.0	4.0	1.0	136.0	710.0	0.0	1.0	12944.0	14868.0	0.0	0.0	0.0	3.0	1.0	0.0	9.0	97.0	0.0	2559.0	644.0	0.0	14450.0	7534.0	0.0	6.0	3.0	0.0	157.0	919.0	19.0	11071.0	7353.0	0.0	40039.0	58157.0	10.0
3e730497abb16e1ab9fbeb6b02d1ce38	3.0	5.0	0.0	1158.0	637.0	737.0	261.0	1111.0	12489.0	1809.0	732.0	14174.0	0.0	14.0	1.0	0.0	77.0	3760.0	18025.0	961.0	14667.0	27946.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	266.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	4.0	9.0	0.0
464b00cad6510559cdc6f3ed7474d89a	7413.0	2950.0	6469.0	9576.0	2313.0	2449.0	3915.0	560.0	3170.0	4368.0	251.0	188.0	6050.0	5314.0	2756.0	2287.0	2876.0	6934.0	2978.0	1022.0	1185.0	346.0	11.0	9.0	1914.0	1232.0	214.0	1765.0	136.0	392.0	2809.0	215.0	17.0	199.0	1363.0	371.0	1103.0	562.0	313.0	372.0	28.0	326.0	894.0	77.0	710.0	110.0	433.0	335.0
d38243fe7d82dca94897693644058296	72.0	25.0	0.0	39.0	1245.0	0.0	2394.0	406.0	0.0	43.0	223.0	0.0	7584.0	437.0	1.0	6370.0	6373.0	14.0	0.0	3940.0	88.0	145.0	8.0	9.0	22.0	0.0	0.0	13.0	0.0	0.0	1316.0	0.0	0.0	7.0	0.0	0.0	157.0	9.0	0.0	57.0	29.0	8.0	39.0	27.0	0.0	26.0	0.0	0.0
58722595b7f3d0cb0a403aefc7964480	0.0	0.0	0.0	271.0	152.0	0.0	110.0	96.0	0.0	993.0	51.0	0.0	7.0	0.0	0.0	25.0	106.0	0.0	0.0	2217.0	2206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	363.0	108.0	0.0	2482.0	1071.0	0.0	0.0	0.0	0.0	42.0	178.0	0.0	1235.0	1460.0	1.0	5542.0	8124.0	0.0
1af8e23efbbe391fca15f5294f35fc32	26.0	0.0	0.0	659.0	0.0	216.0	2596.0	1.0	6658.0	3001.0	1.0	812.0	55.0	0.0	2.0	268.0	0.0	319.0	6384.0	473.0	0.0	931.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
d8617bd9b1b38ef24e6c1a803f8f3536	105.0	1744.0	2151.0	132.0	1278.0	1393.0	48.0	288.0	1138.0	74.0	192.0	400.0	10.0	230.0	207.0	3.0	208.0	410.0	1109.0	1.0	46.0	70.0	8.0	119.0	88.0	2866.0	838.0	413.0	407.0	897.0	701.0	315.0	22.0	25.0	907.0	534.0	12.0	284.0	227.0	25.0	63.0	73.0	48.0	25.0	129.0	2.0	59.0	253.0
119f985b4b0c81dfe17e5c597d2c9abc	75.0	328.0	100.0	74.0	312.0	394.0	71.0	66.0	219.0	45.0	51.0	59.0	36.0	313.0	53.0	14.0	189.0	258.0	269.0	14.0	43.0	45.0	2.0	38.0	106.0	376.0	106.0	264.0	71.0	238.0	2588.0	53.0	3.0	2067.0	153.0	2055.0	92.0	436.0	133.0	110.0	42.0	114.0	3880.0	24.0	100.0	588.0	69.0	2881.0
74e062376c3e59dbe81402dbc5385eca	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	3.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	2398.0	0.0	163.0	10833.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	3.0	1647.0	1.0	1474.0	2156.0	9.0
